scfFolio2,scfConsec2,scfNombre2,scfCodigo2,scfValor2,scfRazon12,scfRazon22,scfRazon32,scfCodErr2,scfRecal2,scfFraude2,inpICCVal2
2335945,1,BC SCORE,7,0497,01,13,15, , , , 
2335955,1,BC SCORE,7,0569,17,31,32, , , , 
2335980,1,BC SCORE,7,0719,04,28, , , , , 
2335982,1,BC SCORE,7,-005, , , , , , , 
2336160,1,BC SCORE,7,-009, , , , , , , 
2336100,1,BC SCORE,7,0691,28, , , , , , 
2336157,1,BC SCORE,7,0604,15,28,17, , , , 
2336118,1,BC SCORE,7,0652,28,04, , , , , 
2336181,1,BC SCORE,7,0639,15,17,16, , , , 
2336294,1,BC SCORE,7,0598,13,15,28, , , , 
2336185,1,BC SCORE,7,-008, , , , , , , 
2336176,1,BC SCORE,7,0659,13,04, , , , , 
2336273,1,BC SCORE,7,0582,21, , , , , , 
2336331,1,BC SCORE,7,0669,28,15,16, , , , 
2336402,1,BC SCORE,7,0532,07,21,31, , , , 
2336255,1,BC SCORE,7,0710,21,28,04, , , , 
2336242,1,BC SCORE,7,0598,15,28,17, , , , 
2336344,1,BC SCORE,7,0484,07,17,05, , , , 
2332675,1,BC SCORE,7,-008, , , , , , , 
2336364,1,BC SCORE,7,0712,15,04,28, , , , 
2336348,1,BC SCORE,7,0720,04, , , , , , 
2336420,1,BC SCORE,7,-009, , , , , , , 
2336362,1,BC SCORE,7,0544,07,21, , , , , 
2336404,1,BC SCORE,7,0706,15,04, , , , , 
2336418,1,BC SCORE,7,-008, , , , , , , 
2336446,1,BC SCORE,7,0593,17,05,28, , , , 
2336431,1,BC SCORE,7,0710,15,04, , , , , 
2336464,1,BC SCORE,7,0729,04, , , , , , 
2336564,1,BC SCORE,7,0679,15,29,28, , , , 
2336441,1,BC SCORE,7,0612,15,17,09, , , , 
2336449,1,BC SCORE,7,0586,07, , , , , , 
2336445,1,BC SCORE,7,0588,21, , , , , , 
2205817,1,BC SCORE,7,0582,17,13, , , , , 
2336456,1,BC SCORE,7,0636,17,15,21, , , , 
2336470,1,BC SCORE,7,0709,56, , , , , , 
2336467,1,BC SCORE,7,0704,16,04, , , , , 
2336590,1,BC SCORE,7,-007, , , , , , , 
2336471,1,BC SCORE,7,0706,15,04, , , , , 
2336476,1,BC SCORE,7,0607,28,15,09, , , , 
2336608,1,BC SCORE,7,-009, , , , , , , 
2336532,1,BC SCORE,7,-009, , , , , , , 
2336541,1,BC SCORE,7,0706,57, , , , , , 
2336535,1,BC SCORE,7,0706,57, , , , , , 
2336576,1,BC SCORE,7,0559,17,13,28, , , , 
2336697,1,BC SCORE,7,0673,04,09, , , , , 
2316766,1,BC SCORE,7,0718,04,28, , , , , 
2336644,1,BC SCORE,7,0646,17,21,16, , , , 
2336725,1,BC SCORE,7,0669,28,15, , , , , 
2336700,1,BC SCORE,7,0680,17,16,28, , , , 
2336718,1,BC SCORE,7,0668,28,31, , , , , 
2336743,1,BC SCORE,7,0701,57, , , , , , 
2336774,1,BC SCORE,7,0673,04,13, , , , , 
2336801,1,BC SCORE,7,0552,17,15,18, , , , 
2336832,1,BC SCORE,7,0598,21, , , , , , 
2336828,1,BC SCORE,7,0732,04, , , , , , 
2336846,1,BC SCORE,7,0722,04, , , , , , 
2336850,1,BC SCORE,7,0516,01,15, , , , , 
2337017,1,BC SCORE,7,0719,04, , , , , , 
2336877,1,BC SCORE,7,0555,17,13,31, , , , 
2336871,1,BC SCORE,7,0588,17,05,15, , , , 
2336872,1,BC SCORE,7,-009, , , , , , , 
2334458,1,BC SCORE,7,0665,05,32,21, , , , 
2336888,1,BC SCORE,7,-008, , , , , , , 
2336964,1,BC SCORE,7,0692,16,28, , , , , 
2336983,1,BC SCORE,7,0548,17,13,15, , , , 
2336989,1,BC SCORE,7,0651,28,32,20, , , , 
2336995,1,BC SCORE,7,0672,15,05, , , , , 
2337058,1,BC SCORE,7,0717,21,04, , , , , 
2337059,1,BC SCORE,7,0687,16, , , , , , 
2337088,1,BC SCORE,7,-009, , , , , , , 
2337105,1,BC SCORE,7,0710,56, , , , , , 
2337117,1,BC SCORE,7,0701,04, , , , , , 
2337301,1,BC SCORE,7,0572,28,21, , , , , 
2337133,1,BC SCORE,7,0721,04, , , , , , 
2337136,1,BC SCORE,7,-009, , , , , , , 
2337155,1,BC SCORE,7,0732,04, , , , , , 
2337719,1,BC SCORE,7,0650,15,16,28, , , , 
2337185,1,BC SCORE,7,-009, , , , , , , 
2337180,1,BC SCORE,7,0685,17,31, , , , , 
2337209,1,BC SCORE,7,0689,28, , , , , , 
2337263,1,BC SCORE,7,0508,07,28,21, , , , 
2337271,1,BC SCORE,7,0688,13,04, , , , , 
2337256,1,BC SCORE,7,0729,04, , , , , , 
2337363,1,BC SCORE,7,0731,04, , , , , , 
2337310,1,BC SCORE,7,0702,21, , , , , , 
2337282,1,BC SCORE,7,0689,16,04, , , , , 
2337308,1,BC SCORE,7,0670,17,28, , , , , 
2337304,1,BC SCORE,7,0722,04, , , , , , 
2337305,1,BC SCORE,7,0698,21,28,04, , , , 
2337354,1,BC SCORE,7,0703,16,18,04, , , , 
2337346,1,BC SCORE,7,0701,28,04, , , , , 
2337360,1,BC SCORE,7,0575,21,28, , , , , 
2337378,1,BC SCORE,7,0644,15,28,16, , , , 
2337410,1,BC SCORE,7,0530,05,01, , , , , 
2336560,1,BC SCORE,7,0651,15,31, , , , , 
2337433,1,BC SCORE,7,0707,57, , , , , , 
2337440,1,BC SCORE,7,0714,21,04,28, , , , 
2337464,1,BC SCORE,7,0641,61, , , , , , 
2337448,1,BC SCORE,7,0683,28,15, , , , , 
2337483,1,BC SCORE,7,0661,04,18, , , , , 
2337488,1,BC SCORE,7,0696,21,04, , , , , 
2337526,1,BC SCORE,7,-009, , , , , , , 
2337540,1,BC SCORE,7,-008, , , , , , , 
2337549,1,BC SCORE,7,0677,32,31, , , , , 
2337554,1,BC SCORE,7,0722,04, , , , , , 
2337596,1,BC SCORE,7,0716,29,04, , , , , 
2337612,1,BC SCORE,7,0504,01,15, , , , , 
2337668,1,BC SCORE,7,0713,15,04,28, , , , 
2337643,1,BC SCORE,7,0669,17,16,31, , , , 
2337665,1,BC SCORE,7,0692,04, , , , , , 
2337685,1,BC SCORE,7,0679,31,28, , , , , 
2337698,1,BC SCORE,7,0677,28,15,16, , , , 
2338143,1,BC SCORE,7,0724,04,28, , , , , 
2337709,1,BC SCORE,7,0650,28,15,32, , , , 
2337724,1,BC SCORE,7,0551,17,13,18, , , , 
2337747,1,BC SCORE,7,0732,04, , , , , , 
2338157,1,BC SCORE,7,0686,15,29,09, , , , 
2338469,1,BC SCORE,7,0709,04, , , , , , 
2338350,1,BC SCORE,7,0710,28,04, , , , , 
2338212,1,BC SCORE,7,-008, , , , , , , 
2338270,1,BC SCORE,7,-008, , , , , , , 
2338398,1,BC SCORE,7,-009, , , , , , , 
2319367,1,BC SCORE,7,0506,13,01, , , , , 
2338257,1,BC SCORE,7,0699,16,28,04, , , , 
2338331,1,BC SCORE,7,0732,04, , , , , , 
2338290,1,BC SCORE,7,0712,04, , , , , , 
2338304,1,BC SCORE,7,0730,04, , , , , , 
2338393,1,BC SCORE,7,0664,28,15, , , , , 
2338424,1,BC SCORE,7,0564,28,21, , , , , 
2338458,1,BC SCORE,7,0682,15,21, , , , , 
2338422,1,BC SCORE,7,-009, , , , , , , 
2338448,1,BC SCORE,7,0681,28,18, , , , , 
2338533,1,BC SCORE,7,-008, , , , , , , 
2338471,1,BC SCORE,7,0681,51, , , , , , 
2338617,1,BC SCORE,7,-009, , , , , , , 
2338490,1,BC SCORE,7,0496,07,28,20, , , , 
2338746,1,BC SCORE,7,-009, , , , , , , 
2338489,1,BC SCORE,7,0724,04, , , , , , 
2338527,1,BC SCORE,7,-008, , , , , , , 
2338532,1,BC SCORE,7,0659,05,18,32, , , , 
2338545,1,BC SCORE,7,0712,04, , , , , , 
2338549,1,BC SCORE,7,0542,28,21,05, , , , 
2338539,1,BC SCORE,7,0646,15,28,18, , , , 
2338544,1,BC SCORE,7,0726,04, , , , , , 
2338578,1,BC SCORE,7,0664,13,04, , , , , 
2338773,1,BC SCORE,7,0630,13,15,31, , , , 
2334405,1,BC SCORE,7,0638,05,15,28, , , , 
2338566,1,BC SCORE,7,0675,05, , , , , , 
2338570,1,BC SCORE,7,0708,57, , , , , , 
2338600,1,BC SCORE,7,0686,16,31, , , , , 
2338657,1,BC SCORE,7,0718,04, , , , , , 
2338619,1,BC SCORE,7,0685,16,09, , , , , 
2339058,1,BC SCORE,7,0666,15,05, , , , , 
2338641,1,BC SCORE,7,0731,04, , , , , , 
2338776,1,BC SCORE,7,0668,28,05, , , , , 
2244681,1,BC SCORE,7,0721,04,28, , , , , 
2338679,1,BC SCORE,7,-009, , , , , , , 
2338708,1,BC SCORE,7,-009, , , , , , , 
2339825,1,BC SCORE,7,0604,13,28, , , , , 
2338779,1,BC SCORE,7,0665,15,28,16, , , , 
2338765,1,BC SCORE,7,0706,15,04, , , , , 
2338987,1,BC SCORE,7,0651,58, , , , , , 
2338778,1,BC SCORE,7,0727,04, , , , , , 
2338789,1,BC SCORE,7,0712,16,04, , , , , 
2338801,1,BC SCORE,7,0728,04, , , , , , 
2338905,1,BC SCORE,7,0703,15,29,04, , , , 
2338802,1,BC SCORE,7,0699,28, , , , , , 
2338815,1,BC SCORE,7,0647,05,28,32, , , , 
2338839,1,BC SCORE,7,0572,31,21, , , , , 
2338857,1,BC SCORE,7,0565,17,13,28, , , , 
2338895,1,BC SCORE,7,0708,29,09,04, , , , 
2338997,1,BC SCORE,7,0563,17,13,31, , , , 
2338926,1,BC SCORE,7,0690,16,17,04, , , , 
2216551,1,BC SCORE,7,0634,31,32,18, , , , 
2338972,1,BC SCORE,7,0555,17,13,28, , , , 
2338979,1,BC SCORE,7,0714,04, , , , , , 
2339010,1,BC SCORE,7,0666,17,16,28, , , , 
2338990,1,BC SCORE,7,0620,15,28,17, , , , 
2339014,1,BC SCORE,7,0728,52, , , , , , 
2339046,1,BC SCORE,7,-009, , , , , , , 
2339041,1,BC SCORE,7,-008, , , , , , , 
2256327,1,BC SCORE,7,-009, , , , , , , 
2339059,1,BC SCORE,7,0701,15,28, , , , , 
2339055,1,BC SCORE,7,-008, , , , , , , 
2339070,1,BC SCORE,7,0711,17,31,04, , , , 
2339343,1,BC SCORE,7,-008, , , , , , , 
2339095,1,BC SCORE,7,0731,04, , , , , , 
2339305,1,BC SCORE,7,0697,31,16,04, , , , 
2314145,1,BC SCORE,7,0493,01,15, , , , , 
2339432,1,BC SCORE,7,-009, , , , , , , 
2339317,1,BC SCORE,7,0709,29,04, , , , , 
2339327,1,BC SCORE,7,0711,15,04, , , , , 
2339419,1,BC SCORE,7,0728,04, , , , , , 
2339576,1,BC SCORE,7,0658,17,28,16, , , , 
2339780,1,BC SCORE,7,0665,13,32, , , , , 
2339807,1,BC SCORE,7,0681,15,17,28, , , , 
2339590,1,BC SCORE,7,0689,04,28, , , , , 
2339579,1,BC SCORE,7,-008, , , , , , , 
2339490,1,BC SCORE,7,0551,17,13,15, , , , 
2339480,1,BC SCORE,7,0683,15,16,28, , , , 
2339500,1,BC SCORE,7,-009, , , , , , , 
2316793,1,BC SCORE,7,0601,05,28,17, , , , 
2339513,1,BC SCORE,7,0657,28,04, , , , , 
2339528,1,BC SCORE,7,0640,17,28,16, , , , 
2339531,1,BC SCORE,7,0695,31,04, , , , , 
2339583,1,BC SCORE,7,0684,16,28, , , , , 
2339571,1,BC SCORE,7,0705,31,04, , , , , 
2339554,1,BC SCORE,7,0661,13,04, , , , , 
2339550,1,BC SCORE,7,0709,04,28, , , , , 
2339549,1,BC SCORE,7,-008, , , , , , , 
2339573,1,BC SCORE,7,0726,04, , , , , , 
2339566,1,BC SCORE,7,0697,16,04, , , , , 
2322464,1,BC SCORE,7,0706,04, , , , , , 
2339607,1,BC SCORE,7,0731,04, , , , , , 
2339602,1,BC SCORE,7,0660,15,28, , , , , 
2339650,1,BC SCORE,7,0719,04, , , , , , 
2339705,1,BC SCORE,7,0607,15,05,28, , , , 
2339713,1,BC SCORE,7,0654,18,04, , , , , 
2339692,1,BC SCORE,7,0645,17,21,16, , , , 
2339727,1,BC SCORE,7,0575,21,28, , , , , 
2339740,1,BC SCORE,7,-009, , , , , , , 
2339934,1,BC SCORE,7,0659,15,05,31, , , , 
2339773,1,BC SCORE,7,0714,16,17,04, , , , 
2339814,1,BC SCORE,7,0732,04, , , , , , 
2339822,1,BC SCORE,7,0643,17,28, , , , , 
2339827,1,BC SCORE,7,0623,17, , , , , , 
2339928,1,BC SCORE,7,0547,28,21, , , , , 
2339876,1,BC SCORE,7,-009, , , , , , , 
2339874,1,BC SCORE,7,0704,15,04,28, , , , 
2339922,1,BC SCORE,7,0687,15,29,28, , , , 
2339904,1,BC SCORE,7,0618,15,28, , , , , 
2339924,1,BC SCORE,7,-008, , , , , , , 
2339931,1,BC SCORE,7,-008, , , , , , , 
2339918,1,BC SCORE,7,0611,13,28, , , , , 
2340018,1,BC SCORE,7,0633,13,28,32, , , , 
2339969,1,BC SCORE,7,0673,28,16,31, , , , 
2339945,1,BC SCORE,7,0729,04, , , , , , 
2340000,1,BC SCORE,7,0683,17,16, , , , , 
2340056,1,BC SCORE,7,0625,15,17,28, , , , 
2340119,1,BC SCORE,7,0550,17,13,15, , , , 
2340245,1,BC SCORE,7,0683,18,32, , , , , 
2338755,1,BC SCORE,7,0723,04, , , , , , 
2340191,1,BC SCORE,7,-009, , , , , , , 
2340093,1,BC SCORE,7,0562,17,15,13, , , , 
