num_iq_03m|consultas,num,iq_03m
num_iq_03m_bk|consultas,num,iq_03m,bk
num_iq_03m_bk_au|consultas,num,iq_03m,bk_au
num_iq_03m_bk_m|consultas,num,iq_03m,bk_m
num_iq_03m_bk_pl|consultas,num,iq_03m,bk_pl
num_iq_03m_bk_r|consultas,num,iq_03m,bk_r
num_iq_03m_nbk|consultas,num,iq_03m,nbk
num_iq_03m_nbk_au|consultas,num,iq_03m,nbk_au
num_iq_03m_nbk_m|consultas,num,iq_03m,nbk_m
num_iq_03m_nbk_pl|consultas,num,iq_03m,nbk_pl
num_iq_03m_nbk_r|consultas,num,iq_03m,nbk_r
num_iq_03m_amx|consultas,num,iq_03m,amx
num_iq_03m_au|consultas,num,iq_03m,au
num_iq_03m_m|consultas,num,iq_03m,m
num_iq_03m_pl|consultas,num,iq_03m,pl
num_iq_03m_r|consultas,num,iq_03m,r
num_iq_03m_fl|consultas,num,iq_03m,fl
num_iq_06m|consultas,num,iq_06m
num_iq_06m_bk|consultas,num,iq_06m,bk
num_iq_06m_bk_au|consultas,num,iq_06m,bk_au
num_iq_06m_bk_m|consultas,num,iq_06m,bk_m
num_iq_06m_bk_pl|consultas,num,iq_06m,bk_pl
num_iq_06m_bk_r|consultas,num,iq_06m,bk_r
num_iq_06m_nbk|consultas,num,iq_06m,nbk
num_iq_06m_nbk_au|consultas,num,iq_06m,nbk_au
num_iq_06m_nbk_m|consultas,num,iq_06m,nbk_m
num_iq_06m_nbk_pl|consultas,num,iq_06m,nbk_pl
num_iq_06m_nbk_r|consultas,num,iq_06m,nbk_r
num_iq_06m_amx|consultas,num,iq_06m,amx
num_iq_06m_au|consultas,num,iq_06m,au
num_iq_06m_m|consultas,num,iq_06m,m
num_iq_06m_pl|consultas,num,iq_06m,pl
num_iq_06m_r|consultas,num,iq_06m,r
num_iq_06m_fl|consultas,num,iq_06m,fl
num_iq_12m|consultas,num,iq_12m
num_iq_12m_bk|consultas,num,iq_12m,bk
num_iq_12m_bk_au|consultas,num,iq_12m,bk_au
num_iq_12m_bk_m|consultas,num,iq_12m,bk_m
num_iq_12m_bk_pl|consultas,num,iq_12m,bk_pl
num_iq_12m_bk_r|consultas,num,iq_12m,bk_r
num_iq_12m_nbk|consultas,num,iq_12m,nbk
num_iq_12m_nbk_au|consultas,num,iq_12m,nbk_au
num_iq_12m_nbk_m|consultas,num,iq_12m,nbk_m
num_iq_12m_nbk_pl|consultas,num,iq_12m,nbk_pl
num_iq_12m_nbk_r|consultas,num,iq_12m,nbk_r
num_iq_12m_amx|consultas,num,iq_12m,amx
num_iq_12m_au|consultas,num,iq_12m,au
num_iq_12m_m|consultas,num,iq_12m,m
num_iq_12m_pl|consultas,num,iq_12m,pl
num_iq_12m_r|consultas,num,iq_12m,r
num_iq_12m_fl|consultas,num,iq_12m,fl
num_iq_18m|consultas,num,iq_18m
num_iq_18m_bk|consultas,num,iq_18m,bk
num_iq_18m_bk_au|consultas,num,iq_18m,bk_au
num_iq_18m_bk_m|consultas,num,iq_18m,bk_m
num_iq_18m_bk_pl|consultas,num,iq_18m,bk_pl
num_iq_18m_bk_r|consultas,num,iq_18m,bk_r
num_iq_18m_nbk|consultas,num,iq_18m,nbk
num_iq_18m_nbk_au|consultas,num,iq_18m,nbk_au
num_iq_18m_nbk_m|consultas,num,iq_18m,nbk_m
num_iq_18m_nbk_pl|consultas,num,iq_18m,nbk_pl
num_iq_18m_nbk_r|consultas,num,iq_18m,nbk_r
num_iq_18m_amx|consultas,num,iq_18m,amx
num_iq_18m_au|consultas,num,iq_18m,au
num_iq_18m_m|consultas,num,iq_18m,m
num_iq_18m_pl|consultas,num,iq_18m,pl
num_iq_18m_r|consultas,num,iq_18m,r
num_iq_18m_fl|consultas,num,iq_18m,fl
num_iq_24m|consultas,num,iq_24m
num_iq_24m_bk|consultas,num,iq_24m,bk
num_iq_24m_bk_au|consultas,num,iq_24m,bk_au
num_iq_24m_bk_m|consultas,num,iq_24m,bk_m
num_iq_24m_bk_pl|consultas,num,iq_24m,bk_pl
num_iq_24m_bk_r|consultas,num,iq_24m,bk_r
num_iq_24m_nbk|consultas,num,iq_24m,nbk
num_iq_24m_nbk_au|consultas,num,iq_24m,nbk_au
num_iq_24m_nbk_m|consultas,num,iq_24m,nbk_m
num_iq_24m_nbk_pl|consultas,num,iq_24m,nbk_pl
num_iq_24m_nbk_r|consultas,num,iq_24m,nbk_r
num_iq_24m_amx|consultas,num,iq_24m,amx
num_iq_24m_au|consultas,num,iq_24m,au
num_iq_24m_m|consultas,num,iq_24m,m
num_iq_24m_pl|consultas,num,iq_24m,pl
num_iq_24m_r|consultas,num,iq_24m,r
num_iq_24m_fl|consultas,num,iq_24m,fl
pct_num_iq_03m_bk|consultas,pct_num,iq_03m,bk
pct_num_iq_03m_bk_au|consultas,pct_num,iq_03m,bk_au
pct_num_iq_03m_bk_m|consultas,pct_num,iq_03m,bk_m
pct_num_iq_03m_bk_pl|consultas,pct_num,iq_03m,bk_pl
pct_num_iq_03m_bk_r|consultas,pct_num,iq_03m,bk_r
pct_num_iq_03m_nbk|consultas,pct_num,iq_03m,nbk
pct_num_iq_03m_nbk_au|consultas,pct_num,iq_03m,nbk_au
pct_num_iq_03m_nbk_m|consultas,pct_num,iq_03m,nbk_m
pct_num_iq_03m_nbk_pl|consultas,pct_num,iq_03m,nbk_pl
pct_num_iq_03m_nbk_r|consultas,pct_num,iq_03m,nbk_r
pct_num_iq_03m_amx|consultas,pct_num,iq_03m,amx
pct_num_iq_03m_au|consultas,pct_num,iq_03m,au
pct_num_iq_03m_m|consultas,pct_num,iq_03m,m
pct_num_iq_03m_pl|consultas,pct_num,iq_03m,pl
pct_num_iq_03m_r|consultas,pct_num,iq_03m,r
pct_num_iq_03m_fl|consultas,pct_num,iq_03m,fl
pct_num_iq_06m_bk|consultas,pct_num,iq_06m,bk
pct_num_iq_06m_bk_au|consultas,pct_num,iq_06m,bk_au
pct_num_iq_06m_bk_m|consultas,pct_num,iq_06m,bk_m
pct_num_iq_06m_bk_pl|consultas,pct_num,iq_06m,bk_pl
